Hospital/Chapin,Purple,,,,,,,,,,,,,,,
Run,SAC (Leave),Roosevelt West,Tabler Steps West,Roth/Tabler West,South Campus West,Child Care,Lot 40,Chapin,Point of Woods,Administration,Life Sciences West,Roth/Tabler East,Tabler Steps East,Roosevelt East,Circle Road,SAC (Arrive)
47,18:30,18:32,18:33,18:34,18:35,18:37,18:39,18:43,18:44,18:46,18:47,18:48,18:49,18:50,18:51,18:52
48,18:45,18:47,18:48,18:49,18:50,18:52,18:54,18:58,18:59,19:01,19:02,19:03,19:04,19:05,19:06,19:07
49,19:00,19:02,19:03,19:04,19:05,19:07,19:09,19:13,19:14,19:16,19:17,19:18,19:19,19:20,19:21,19:22
50,19:15,19:17,19:18,19:19,19:20,19:22,19:24,19:28,19:29,19:31,19:32,19:33,19:34,19:35,19:36,19:37
51,19:30,19:32,19:33,19:34,19:35,19:37,19:39,19:43,19:44,19:46,19:47,19:48,19:49,19:50,19:51,19:52
52,19:45,19:47,19:48,19:49,19:50,19:52,19:54,19:58,19:59,20:01,20:02,20:03,20:04,20:05,20:06,20:07
53,20:00,20:02,20:03,20:04,20:05,20:07,20:09,20:13,20:14,20:16,20:17,20:18,20:19,20:20,20:21,20:22
54,20:15,20:17,20:18,20:19,20:20,20:22,20:24,20:28,20:29,20:31,20:32,20:33,20:34,20:35,20:36,20:37
55,20:30,20:32,20:33,20:34,20:35,20:37,20:39,20:43,20:44,20:46,20:47,20:48,20:49,20:50,20:51,20:52
56,20:45,20:47,20:48,20:49,20:50,20:52,20:54,20:58,20:59,21:01,21:02,21:03,21:04,21:05,21:06,21:07
57,21:00,21:02,21:03,21:04,21:05,21:07,21:09,21:13,21:14,21:16,21:17,21:18,21:19,21:20,21:21,21:22
58,21:15,21:17,21:18,21:19,21:20,21:22,21:24,21:28,21:29,21:31,21:32,21:33,21:34,21:35,21:36,21:37
59,21:30,21:32,21:33,21:34,21:35,21:37,21:39,21:43,21:44,21:46,21:47,21:48,21:49,21:50,21:51,21:52
60,21:45,21:47,21:48,21:49,21:50,21:52,21:54,21:58,21:59,22:01,22:02,22:03,22:04,22:05,22:06,22:07
61,22:00,22:02,22:03,22:04,22:05,22:07,22:09,22:13,22:14,22:16,22:17,22:18,22:19,22:20,22:21,22:22
62,22:15,22:17,22:18,22:19,22:20,22:22,22:24,22:28,22:29,22:31,22:32,22:33,22:34,22:35,22:36,22:37
63,22:30,22:32,22:33,22:34,22:35,22:37,22:39,22:43,22:44,22:46,22:47,22:48,22:49,22:50,22:51,22:52
64,22:45,22:47,22:48,22:49,22:50,22:52,22:54,22:58,22:59,23:01,23:02,23:03,23:04,23:05,23:06,23:07
65,23:00,23:02,23:03,23:04,23:05,23:07,23:09,23:13,23:14,23:16,23:17,23:18,23:19,23:20,23:21,23:22
66,23:15,23:17,23:18,23:19,23:20,23:22,23:24,23:28,23:29,23:31,23:32,23:33,23:34,23:35,23:36,23:37
67,23:30,23:32,23:33,23:34,23:35,23:37,23:39,23:43,23:44,23:46,23:47,23:48,23:49,23:50,23:51,23:52
