Express East,Blue,,,,,,
Run,Lot 40 (Leave),South Campus East,Life Sciences East,East Side Dining,Life Sciences West,South Campus West,Lot 40 (Arrive)
105,15:40,15:42,15:44,15:46,15:48,15:50,15:52
106,15:45,15:47,15:49,15:51,15:53,15:55,15:57
107,15:50,15:52,15:54,15:56,15:58,16:00,16:02
108,15:55,15:57,15:59,16:01,16:03,16:05,16:07
109,16:00,16:02,16:04,16:06,16:08,16:10,16:12
110,16:05,16:07,16:09,16:11,16:13,16:15,16:17
111,16:10,16:12,16:14,16:16,16:18,16:20,16:22
112,16:15,16:17,16:19,16:21,16:23,16:25,16:27
113,16:20,16:22,16:24,16:26,16:28,16:30,16:32
114,16:25,16:27,16:29,16:31,16:33,16:35,16:37
115,16:30,16:32,16:34,16:36,16:38,16:40,16:42
116,16:35,16:37,16:39,16:41,16:43,16:45,16:47
117,16:40,16:42,16:44,16:46,16:48,16:50,16:52
118,16:45,16:47,16:49,16:51,16:53,16:55,16:57
119,16:50,16:52,16:54,16:56,16:58,17:00,17:02
120,16:55,16:57,16:59,17:01,17:03,17:05,17:07
121,17:00,17:02,17:04,17:06,17:08,17:10,17:12
122,17:05,17:07,17:09,17:11,17:13,17:15,17:17
123,17:10,17:12,17:14,17:16,17:18,17:20,17:22
124,17:15,17:17,17:19,17:21,17:23,17:25,17:27
125,17:20,17:22,17:24,17:26,17:28,17:30,17:32
126,17:25,17:27,17:29,17:31,17:33,17:35,17:37
127,17:30,17:32,17:34,17:36,17:38,17:40,17:42
128,17:35,17:37,17:39,17:41,17:43,17:45,17:47
129,17:40,17:42,17:44,17:46,17:48,17:50,17:52
130,17:45,17:47,17:49,17:51,17:53,17:55,17:57
131,17:50,17:52,17:54,17:56,17:58,18:00,18:02
132,17:55,17:57,17:59,18:01,18:03,18:05,18:07
133,18:00,18:02,18:04,18:06,18:08,18:10,18:12
134,18:05,18:07,18:09,18:11,18:13,18:15,18:17
135,18:10,18:12,18:14,18:16,18:18,18:20,18:22
136,18:15,18:17,18:19,18:21,18:23,18:25,18:27
137,18:20,18:22,18:24,18:26,18:28,18:30,18:32
138,18:25,18:27,18:29,18:31,18:33,18:35,18:37
139,18:30,18:32,18:34,18:36,18:38,18:40,18:42
140,18:35,18:37,18:39,18:41,18:43,18:45,18:47
141,18:40,18:42,18:44,18:46,18:48,18:50,18:52
142,18:45,18:47,18:49,18:51,18:53,18:55,18:57
143,18:50,18:52,18:54,18:56,18:58,19:00,19:02
144,18:55,18:57,18:59,19:01,19:03,19:05,19:07
145,19:00,19:02,19:04,19:06,19:08,19:10,19:12
146,19:05,19:07,19:09,19:11,19:13,19:15,19:17
147,19:10,19:12,19:14,19:16,19:18,19:20,19:22
148,19:15,19:17,19:19,19:21,19:23,19:25,19:27
149,19:20,19:22,19:24,19:26,19:28,19:30,19:32
150,19:25,19:27,19:29,19:31,19:33,19:35,19:37
151,19:30,19:32,19:34,19:36,19:38,19:40,19:42
152,19:35,19:37,19:39,19:41,19:43,19:45,19:47
153,19:40,19:42,19:44,19:46,19:48,19:50,19:52
154,19:45,19:47,19:49,19:51,19:53,19:55,19:57
155,19:50,19:52,19:54,19:56,19:58,20:00,20:02
156,19:55,19:57,19:59,20:01,20:03,20:05,20:07
157,20:00,20:02,20:04,20:06,20:08,20:10,20:12
158,20:10,20:12,20:14,20:16,20:18,20:20,20:22
159,20:20,20:22,20:24,20:26,20:28,20:30,20:32
160,20:30,20:32,20:34,20:36,20:38,20:40,20:42
161,20:40,20:42,20:44,20:46,20:48,20:50,20:52
162,20:50,20:52,20:54,20:56,20:58,21:00,21:02
163,21:00,21:02,21:04,21:06,21:08,21:10,21:12
164,21:10,21:12,21:14,21:16,21:18,21:20,21:22
165,21:20,21:22,21:24,21:26,21:28,21:30,21:32
166,21:30,21:32,21:34,21:36,21:38,21:40,21:42
167,21:40,21:42,21:44,21:46,21:48,21:50,21:52
168,21:50,21:52,21:54,21:56,21:58,22:00,22:02
169,22:00,22:02,22:04,22:06,22:08,22:10,22:12
170,22:10,22:12,22:14,22:16,22:18,22:20,22:22
171,22:20,22:22,22:24,22:26,22:28,22:30,22:32
172,22:30,22:32,22:34,22:36,22:38,22:40,22:42
173,22:40,22:42,22:44,22:46,22:48,22:50,22:52
174,22:50,22:52,22:54,22:56,22:58,23:00,23:02
