Express West,Red,,,,,
Run,Lot 40 (Leave),South Campus East,Engineering Dr. Loop,South Campus West,Child Care,Lot 40 (Arrive)
121,17:31,17:33,17:37,17:40,17:42,17:44
122,17:36,17:38,17:42,17:45,17:47,17:49
123,17:41,17:43,17:47,17:50,17:52,17:54
124,17:46,17:48,17:52,17:55,17:57,17:59
125,17:51,17:53,17:57,18:00,18:02,18:04
126,17:56,17:58,18:02,18:05,18:07,18:09
127,18:01,18:03,18:07,18:10,18:12,18:14
128,18:06,18:08,18:12,18:15,18:17,18:19
129,18:11,18:13,18:17,18:20,18:22,18:24
130,18:16,18:18,18:22,18:25,18:27,18:29
131,18:21,18:23,18:27,18:30,18:32,18:34
132,18:26,18:28,18:32,18:35,18:37,18:39
133,18:31,18:33,18:37,18:40,18:42,18:44
134,18:36,18:38,18:42,18:45,18:47,18:49
135,18:41,18:43,18:47,18:50,18:52,18:54
136,18:46,18:48,18:52,18:55,18:57,18:59
137,18:51,18:53,18:57,19:00,19:02,19:04
138,18:56,18:58,19:02,19:05,19:07,19:09
139,19:01,19:03,19:07,19:10,19:12,19:14
140,19:06,19:08,19:12,19:15,19:17,19:19
141,19:11,19:13,19:17,19:20,19:22,19:24
142,19:16,19:18,19:22,19:25,19:27,19:29
143,19:21,19:23,19:27,19:30,19:32,19:34
144,19:26,19:28,19:32,19:35,19:37,19:39
145,19:31,19:33,19:37,19:40,19:42,19:44
146,19:36,19:38,19:42,19:45,19:47,19:49
147,19:41,19:43,19:47,19:50,19:52,19:54
148,19:46,19:48,19:52,19:55,19:57,19:59
149,19:51,19:53,19:57,20:00,20:02,20:04
150,19:56,19:58,20:02,20:05,20:07,20:09
151,20:01,20:03,20:07,20:10,20:12,20:14
152,20:11,20:13,20:17,20:20,20:22,20:24
153,20:21,20:23,20:27,20:30,20:32,20:34
154,20:31,20:33,20:37,20:40,20:42,20:44
155,20:41,20:43,20:47,20:50,20:52,20:54
156,20:51,20:53,20:57,21:00,21:02,21:04
157,21:01,21:03,21:07,21:10,21:12,21:14
158,21:11,21:13,21:17,21:20,21:22,21:24
159,21:21,21:23,21:27,21:30,21:32,21:34
160,21:31,21:33,21:37,21:40,21:42,21:44
161,21:41,21:43,21:47,21:50,21:52,21:54
162,21:51,21:53,21:57,22:00,22:02,22:04
163,22:01,22:03,22:07,22:10,22:12,22:14
164,22:11,22:13,22:17,22:20,22:22,22:24
165,22:21,22:23,22:27,22:30,22:32,22:34
166,22:31,22:33,22:37,22:40,22:42,22:44
167,22:41,22:43,22:47,22:50,22:52,22:54
168,22:51,22:53,22:57,23:00,23:02,23:04
